Days_Left,Task_Type,Estimated_Duration,Deadline_Time,Task_Importance,Past_Completion_Rate,Number_Of_Overdue_Tasks,Priority_Level
3,Work,1,09:17 AM,5,74,5,High
7,Student,3,02:22 AM,4,70,5,High
12,Personal,1,09:46 AM,5,77,4,High
0,Student,3,05:46 PM,5,94,5,High
0,Student,4,07:40 PM,4,72,3,High
2,Personal,3,06:20 PM,4,78,3,High
3,Work,4,04:47 PM,4,88,3,High
1,Student,3,02:06 PM,4,90,3,High
4,Work,1,04:07 PM,2,57,5,High
9,Work,3,03:49 PM,5,65,4,High
2,Student,3,07:22 AM,5,59,4,High
1,Personal,2,11:06 PM,4,79,2,High
6,Personal,3,05:00 PM,5,73,4,High
3,Student,3,10:41 AM,4,68,2,High
4,Personal,3,12:28 PM,3,56,5,High
6,Work,4,05:13 AM,5,51,5,High
12,Student,4,11:54 AM,5,94,4,High
7,Work,3,12:45 PM,5,64,3,High
1,Personal,2,02:28 AM,5,72,4,High
0,Personal,3,04:06 AM,3,77,5,High
2,Personal,2,01:20 PM,4,85,3,High
0,Personal,4,11:19 AM,4,76,2,High
4,Student,1,11:09 PM,5,87,2,High
1,Personal,3,05:01 AM,3,95,4,High
10,Work,1,11:45 PM,4,55,4,High
5,Personal,4,02:04 AM,5,95,4,High
2,Work,4,06:46 PM,5,55,0,High
7,Student,3,04:35 AM,3,77,5,High
1,Student,4,12:59 AM,3,51,4,High
2,Work,1,02:41 PM,3,76,5,High
4,Student,2,06:57 AM,3,73,4,High
0,Personal,4,01:17 PM,4,66,1,High
9,Student,1,11:11 PM,5,64,5,High
5,Personal,3,01:34 PM,5,96,4,High
7,Work,3,04:32 AM,5,85,5,High
5,Work,4,04:42 AM,5,93,3,High
0,Student,1,03:37 AM,5,63,3,High
2,Work,4,06:27 AM,5,93,4,High
2,Work,4,12:47 PM,5,67,0,High
3,Student,3,10:49 AM,3,58,5,High
10,Personal,3,08:20 AM,4,57,4,High
1,Work,2,12:39 AM,3,79,3,High
12,Work,4,07:07 AM,5,52,4,High
3,Work,2,08:09 PM,2,69,5,High
1,Work,2,12:38 PM,5,80,0,High
12,Personal,4,01:40 AM,5,50,5,High
12,Personal,1,11:50 PM,5,78,5,High
9,Work,2,08:14 AM,4,62,5,High
1,Work,2,07:36 PM,2,59,5,High
8,Work,3,03:12 PM,5,96,4,High
7,Student,1,03:52 PM,5,71,5,High
5,Work,2,08:12 AM,5,67,5,High
0,Work,4,08:12 PM,3,84,4,High
3,Personal,2,03:28 AM,2,52,5,High
3,Personal,1,01:57 AM,4,91,4,High
8,Personal,3,07:17 AM,5,81,3,High
1,Student,1,06:23 AM,4,97,4,High
6,Student,1,01:36 AM,5,53,5,High
13,Personal,4,11:19 AM,5,65,5,High
11,Personal,4,10:42 AM,5,73,3,High
5,Student,3,02:50 AM,5,89,5,High
0,Work,3,12:09 AM,3,99,4,High
9,Work,3,03:08 PM,5,67,5,High
3,Student,1,07:58 AM,4,78,3,High
3,Work,3,10:00 AM,3,92,4,High
12,Student,2,07:21 PM,5,50,5,High
2,Student,4,04:31 PM,3,93,5,High
3,Work,1,02:45 AM,5,70,4,High
14,Work,2,01:45 AM,5,59,5,High
12,Work,2,09:36 AM,5,67,5,High
0,Student,1,05:09 AM,5,95,4,High
6,Student,4,03:21 PM,5,99,2,High
5,Personal,1,11:58 PM,5,53,4,High
4,Work,3,08:15 AM,4,72,3,High
14,Student,1,08:35 AM,5,53,5,High
2,Student,4,01:40 PM,4,94,3,High
2,Student,3,07:44 AM,4,74,2,High
9,Student,3,06:20 PM,5,88,3,High
3,Work,3,05:59 AM,3,79,5,High
16,Personal,4,08:24 AM,5,73,5,High
3,Personal,4,03:00 AM,2,56,5,High
4,Personal,4,07:11 AM,3,86,5,High
8,Personal,3,02:20 PM,5,67,2,High
1,Student,3,01:57 AM,5,64,3,High
7,Personal,1,06:01 PM,4,70,5,High
1,Student,4,12:27 AM,4,94,2,High
4,Student,3,12:25 AM,2,62,5,High
7,Work,1,09:42 PM,5,63,2,High
0,Personal,4,08:13 AM,4,55,2,High
10,Work,2,07:38 AM,4,52,5,High
1,Personal,4,11:51 PM,5,78,1,High
7,Personal,3,06:58 AM,5,68,2,High
12,Student,2,09:35 PM,5,51,5,High
0,Student,2,02:30 PM,5,81,4,High
2,Work,4,11:19 PM,5,97,4,High
17,Work,1,12:18 AM,5,73,5,High
11,Personal,4,10:56 PM,4,78,5,High
14,Work,4,05:23 PM,5,56,5,High
3,Personal,1,03:10 AM,5,95,1,High
1,Work,2,02:45 AM,5,52,5,High
3,Personal,1,09:52 AM,4,58,2,High
13,Personal,1,03:54 AM,5,76,5,High
2,Work,2,10:53 PM,4,59,5,High
1,Student,4,05:29 AM,4,71,4,High
9,Work,3,01:13 AM,5,58,4,High
6,Work,4,08:08 PM,5,70,3,High
0,Personal,3,07:56 PM,4,77,4,High
11,Personal,4,07:21 PM,5,56,5,High
1,Personal,4,08:27 AM,4,72,3,High
1,Work,1,07:21 PM,3,93,5,High
1,Student,2,12:40 PM,5,78,4,High
9,Work,2,03:48 AM,5,58,5,High
9,Personal,2,10:13 PM,4,93,5,High
2,Personal,2,02:59 AM,5,90,5,High
1,Work,2,03:18 PM,3,82,5,High
5,Work,1,05:21 AM,5,82,4,High
2,Work,4,07:52 PM,5,69,3,High
1,Student,4,08:27 PM,5,82,2,High
0,Student,2,01:23 AM,3,74,3,High
5,Work,3,05:26 AM,4,91,5,High
2,Student,2,07:56 AM,5,64,0,High
0,Work,2,04:52 PM,2,60,5,High
5,Student,3,12:21 AM,5,58,4,High
0,Personal,1,02:32 PM,5,59,1,High
2,Work,1,06:10 AM,5,58,0,High
15,Student,4,09:46 PM,5,56,5,High
0,Student,1,07:18 AM,1,58,5,High
3,Work,1,09:23 AM,4,62,4,High
1,Student,4,09:58 AM,4,66,1,High
2,Work,3,06:10 AM,5,56,1,High
4,Student,1,12:49 AM,4,85,3,High
2,Student,1,05:17 AM,5,50,2,High
3,Personal,4,04:48 AM,5,99,1,High
2,Student,4,07:16 PM,3,51,5,High
4,Work,3,11:35 PM,5,85,4,High
3,Student,2,03:14 AM,4,50,4,High
7,Work,3,06:06 AM,5,52,2,High
0,Student,3,03:12 AM,4,78,5,High
6,Student,3,03:02 AM,5,54,4,High
3,Student,1,03:17 PM,5,94,2,High
3,Personal,4,03:53 AM,5,78,4,High
9,Work,2,01:27 PM,5,70,3,High
4,Student,4,11:34 AM,5,71,5,High
12,Work,4,01:48 AM,5,55,4,High
18,Work,1,10:03 AM,5,53,5,High
10,Personal,4,06:40 PM,4,67,5,High
1,Student,2,07:46 AM,4,100,3,High
0,Student,1,11:54 AM,5,86,4,High
3,Student,4,11:04 PM,4,74,3,High
4,Personal,2,04:55 AM,5,72,1,High
10,Personal,2,09:36 AM,5,76,5,High
9,Personal,3,04:13 AM,5,58,5,High
1,Personal,2,07:06 PM,3,75,3,High
2,Student,2,07:49 AM,4,51,5,High
5,Work,1,10:06 PM,4,80,5,High
10,Personal,4,01:37 AM,5,79,3,High
2,Personal,1,04:10 AM,5,87,1,High
1,Personal,1,10:06 PM,5,84,0,High
5,Personal,3,12:02 AM,4,98,5,High
1,Student,4,01:32 PM,4,60,3,High
3,Student,3,03:25 PM,2,71,5,High
8,Personal,1,07:36 AM,4,62,4,High
5,Student,3,05:05 PM,4,78,3,High
3,Student,3,02:59 AM,4,72,4,High
11,Work,3,01:07 PM,5,93,5,High
2,Personal,4,02:57 PM,3,89,5,High
11,Work,1,10:08 PM,5,76,5,High
14,Student,4,02:18 PM,5,66,5,High
1,Work,3,06:59 AM,4,92,2,High
13,Student,2,11:42 PM,5,58,5,High
2,Personal,1,10:34 PM,4,61,3,High
2,Work,3,11:15 AM,4,86,3,High
9,Personal,4,04:55 AM,5,65,5,High
1,Work,3,04:55 AM,3,69,3,High
6,Work,4,04:54 PM,5,99,3,High
2,Personal,3,09:51 PM,3,54,5,High
3,Personal,4,10:39 PM,4,76,5,High
2,Personal,3,04:42 PM,5,56,2,High
9,Student,1,08:46 AM,3,56,5,High
5,Work,1,08:45 PM,5,51,2,High
5,Work,2,03:01 AM,3,75,5,High
3,Student,3,11:56 PM,5,78,5,High
0,Work,4,01:12 AM,2,50,4,High
1,Personal,3,01:40 AM,2,71,5,High
4,Personal,4,11:56 PM,5,69,1,High
0,Work,2,10:42 PM,5,56,5,High
5,Personal,2,01:10 AM,5,82,5,High
5,Student,4,02:21 AM,3,81,5,High
2,Work,2,02:35 AM,5,63,3,High
2,Personal,2,07:56 PM,4,65,5,High
2,Work,2,01:03 PM,5,66,1,High
1,Work,2,02:03 PM,5,65,4,High
5,Work,2,08:37 PM,4,66,4,High
1,Work,3,07:58 PM,5,91,4,High
8,Work,4,04:29 AM,5,64,5,High
4,Student,1,08:52 AM,4,56,2,High
3,Work,4,09:51 AM,5,71,3,High
1,Student,2,02:53 AM,2,61,5,High
0,Student,3,11:05 AM,4,76,5,High
7,Personal,3,03:10 PM,5,50,4,High
5,Personal,1,11:48 AM,4,99,5,High
8,Personal,3,06:49 AM,5,58,2,High
13,Personal,3,08:53 AM,5,85,5,High
3,Personal,1,07:33 AM,5,83,2,High
1,Work,4,10:41 PM,5,70,2,High
5,Personal,3,11:55 PM,3,59,4,High
8,Student,4,09:39 PM,5,84,4,High
12,Personal,4,12:18 AM,5,55,3,High
2,Work,1,12:28 PM,5,97,3,High
10,Work,4,08:22 AM,4,71,5,High
5,Personal,3,04:56 PM,5,57,4,High
0,Personal,1,03:17 PM,4,69,2,High
0,Work,4,11:43 PM,3,62,4,High
4,Work,4,11:38 AM,5,97,3,High
7,Student,2,05:11 PM,5,90,3,High
6,Student,2,08:10 AM,5,69,4,High
1,Work,2,01:11 AM,3,79,4,High
5,Personal,2,07:07 AM,5,78,4,High
3,Student,1,07:07 AM,4,62,3,High
0,Personal,1,05:26 AM,3,61,3,High
